                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6617,                  1.458,                 1.6492,                0.78155,                0.61007,                0.72737,                0.36527,                 1.6642,                0.93462,                 1.4204,               0.070068,              0.0033257,              0.0033257
                      1,                 1.4668,                 1.2341,                 1.5035,                0.75094,                0.57994,                0.68429,                0.29011,                  1.951,                 1.0028,                 1.5982,               0.039739,              0.0063294,              0.0063294
                      2,                 1.4892,                 1.2768,                 1.5249,                0.70723,                0.58133,                0.65861,                0.32151,                 1.6754,                 1.1083,                 1.5015,              0.0090792,              0.0090031,              0.0090031
                      3,                 1.5112,                 1.3092,                 1.5556,                0.71554,                0.55831,                0.64653,                 0.2882,                 1.8245,                 1.1451,                 1.6087,               0.008515,               0.008515,               0.008515
                      4,                 1.4825,                 1.2782,                 1.5348,                0.69139,                0.56957,                0.65138,                0.30327,                 1.7436,                 1.1701,                 1.5884,               0.008515,               0.008515,               0.008515
                      5,                  1.453,                 1.2395,                 1.5136,                 0.7367,                0.57705,                0.67322,                0.32336,                 1.6892,                 1.0423,                 1.5513,                0.00802,                0.00802,                0.00802
                      6,                 1.4264,                 1.2126,                  1.496,                0.74405,                0.58483,                0.68167,                0.31682,                 1.7572,                 1.0329,                 1.5398,               0.007525,               0.007525,               0.007525
                      7,                 1.4019,                 1.1793,                 1.4802,                0.76319,                0.59244,                    0.7,                0.33464,                 1.6721,                 1.0159,                 1.5159,                0.00703,                0.00703,                0.00703
                      8,                 1.3798,                 1.1498,                 1.4649,                0.75242,                0.60335,                0.70393,                0.35176,                 1.6155,                0.98172,                  1.492,               0.006535,               0.006535,               0.006535
                      9,                 1.3596,                 1.1245,                 1.4502,                0.77005,                0.62627,                0.72579,                0.35264,                 1.6657,                0.97145,                 1.5187,                0.00604,                0.00604,                0.00604
                     10,                  1.399,                  1.129,                 1.4905,                0.78807,                0.62086,                0.72503,                0.35919,                 1.6293,                 0.9446,                 1.4954,               0.005545,               0.005545,               0.005545
                     11,                 1.3769,                 1.1059,                  1.477,                 0.7758,                0.60863,                0.71662,                0.35916,                 1.6072,                0.97017,                 1.4777,                0.00505,                0.00505,                0.00505
                     12,                 1.3569,                 1.0755,                 1.4592,                0.76925,                0.62782,                0.72768,                0.35908,                 1.6447,                0.94454,                 1.4913,               0.004555,               0.004555,               0.004555
                     13,                 1.3398,                 1.0546,                 1.4486,                0.77741,                0.62707,                 0.7337,                0.38486,                  1.538,                0.92537,                 1.4502,                0.00406,                0.00406,                0.00406
                     14,                 1.3203,                  1.028,                  1.431,                0.79596,                0.64304,                0.75217,                0.37778,                 1.5954,                0.90727,                 1.4615,               0.003565,               0.003565,               0.003565
                     15,                 1.2986,                 1.0027,                 1.4196,                 0.8081,                0.64398,                0.75505,                0.41124,                 1.4578,                0.87063,                 1.3975,                0.00307,                0.00307,                0.00307
                     16,                 1.2763,                0.97556,                 1.4038,                0.80911,                0.65637,                0.76422,                0.40677,                 1.5084,                0.85993,                 1.4219,               0.002575,               0.002575,               0.002575
                     17,                 1.2532,                0.95096,                 1.3902,                0.81263,                0.67521,                0.77709,                0.42073,                 1.4764,                0.81937,                 1.3956,                0.00208,                0.00208,                0.00208
                     18,                 1.2348,                0.93129,                 1.3725,                0.81579,                  0.669,                0.77936,                0.42999,                 1.4283,                0.81975,                 1.3897,               0.001585,               0.001585,               0.001585
                     19,                 1.2124,                0.91211,                  1.364,                0.82931,                0.68303,                0.79003,                 0.4332,                 1.4489,                0.78796,                 1.3823,                0.00109,                0.00109,                0.00109
